INFO    2022-10-27 05:25:08,397 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:25:15,844 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:25:16,147 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:27:22,293 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:27:46,427 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:27:46,927 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:28:02,039 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:28:02,348 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:28:12,825 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:28:13,094 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 05:28:28,042 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:28:28,307 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:30:19,185 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:30:19,453 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:33:51,070 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:34:08,820 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:09,171 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:34:11,276 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:11,540 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:34:12,564 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:12,838 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:34:13,660 [http-nio-8090-exec-5] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:13,927 [http-nio-8090-exec-5] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:34:14,674 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:14,938 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:34:15,575 [http-nio-8090-exec-7] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:15,854 [http-nio-8090-exec-7] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:34:16,430 [http-nio-8090-exec-8] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:16,695 [http-nio-8090-exec-8] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:34:17,294 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:34:17,557 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:40:14,519 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:40:23,078 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:40:23,363 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:42:33,184 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:42:33,453 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:43:36,516 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:43:42,345 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:43:42,615 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:45:13,612 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:45:26,204 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:45:26,472 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:45:47,782 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:48:05,350 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:48:05,846 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:48:17,483 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:48:17,748 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:50:43,172 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:50:58,770 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:50:59,040 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:53:51,779 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:53:52,053 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 05:53:58,016 [http-nio-8090-exec-8] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:53:58,346 [http-nio-8090-exec-8] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:54:05,259 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:54:05,523 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 05:54:11,985 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:54:12,250 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:54:22,840 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:54:23,116 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:54:33,053 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
